centroid,log(zero_cross),type
6317.898069654797,-3.9530449799510676,kick
1292.271747154044,-5.878335841803645,kick
835.0838656188686,-6.1194978986205335,kick
9972.63726267164,-2.673848754387544,kick
7834.382716823657,-1.9381419594088027,kick
683.9837553972018,-6.032486521630903,kick
973.0091279764758,-5.684179827362688,kick
4072.920243933916,-3.984793678265648,kick
6231.4987931375745,-3.286284554564317,kick
1965.0734765253292,-6.1194978986205335,kick
2577.5261659253356,-2.6651906916444292,kick
731.0748589594914,-6.437951629739068,kick
582.5452514923358,-5.083405966933758,kick
986.5902538455322,-5.952443813957367,kick
580.3725602696106,-6.437951629739068,kick
1792.5592523589698,-6.1194978986205335,kick
566.3513326331513,-5.809342970316694,kick
1953.1143418502575,-3.5757507488095994,kick
2942.639685419345,-5.339339341070958,kick
3411.1554954305216,-3.6653629074992864,kick
4939.737756674278,-5.426350718060588,kick
4351.665798509441,-4.423048609196803,kick
1879.7703872220957,-5.878335841803645,kick
1226.868588881812,-6.437951629739068,kick
4083.8841422699343,-4.186659831132572,kick
1026.9648873519,-5.339339341070958,kick
4935.812964026769,-2.9376633454326817,kick
2654.6192047551017,-4.585567538694578,kick
1470.9622296232374,-6.1194978986205335,kick
859.5788734982817,-5.684179827362688,kick
2060.635301243462,-6.214808078424858,kick
1348.7784707108085,-5.339339341070958,kick
4316.350244552835,-3.381594734368642,kick
2196.476178689683,-5.809342970316694,kick
1333.6475469506377,-6.214808078424858,kick
4645.396927969572,-4.52840912485463,kick
1744.7126011595005,-5.878335841803645,kick
1474.9645488542717,-4.374258445027371,kick
5148.226562603226,-5.572954192252463,kick
4193.03559040071,-4.063045875165396,kick
1506.2775314617222,-5.298517346550703,kick
1361.7780893897225,-5.572954192252463,kick
5575.4876634788925,-4.110673924154651,kick
4067.461443406709,-4.186659831132572,kick
3911.8312593696915,-3.763802980312539,kick
6439.584199218254,-3.020224946125702,kick
7585.370960858025,-3.1702856407014353,kick
4334.107109468254,-4.374258445027371,kick
1473.2637702953598,-4.327738429392478,kick
548.627249600585,-6.320168594082684,kick
2300.3655138709605,-5.339339341070958,kick
1724.3230928988573,-5.051657268619177,kick
5364.148938525981,-3.1943831922804953,kick
2598.448460677198,-4.605370165990758,kick
2131.537243950739,-5.083405966933758,kick
465.17896691801224,-6.725633702190849,kick
434.9814307451105,-4.756193055725341,kick
275.61331169149923,-6.214808078424858,kick
1825.396154784844,-4.406519307245593,kick
1800.8087289601772,-6.725633702190849,kick
963.5643507573396,-5.809342970316694,kick
1927.4435294772563,-5.051657268619177,kick
1896.3194997347632,-4.110673924154651,kick
1470.657982106714,-6.1194978986205335,kick
603.2518580997227,-5.426350718060588,kick
852.4986928766945,-6.320168594082684,kick
3454.210896701097,-4.017583501088638,kick
2917.3669856813976,-5.426350718060588,kick
1272.3343023213672,-5.744804449179123,kick
4106.773111073756,-5.259296633397422,kick
3608.1183878448383,-4.906475258774679,kick
4647.632128932951,-3.9956045943698633,kick
3759.8616361063123,-6.1194978986205335,kick
1622.8288484124512,-6.1194978986205335,kick
3704.432673851784,-3.932425692748332,kick
3225.3880004603093,-4.4920414806837545,kick
1512.2208486659206,-4.96204510992949,kick
336.4955065637729,-6.214808078424858,kick
1190.2862121834103,-5.572954192252463,kick
828.8576820245793,-5.878335841803645,kick
707.5115685146956,-6.1194978986205335,kick
660.6901391799418,-5.878335841803645,kick
234.47662172259402,-6.320168594082684,kick
1630.1434083019706,-5.521660897864913,kick
137.39439061110906,-6.571483022363591,kick
2887.3775651212163,-5.1851886612437,kick
3804.6551004771945,-3.4359888064344406,kick
2544.7090920177943,-4.566149452837476,kick
3649.9918679883203,-4.933874232962793,kick
569.7002596722526,-6.725633702190849,kick
847.2838315132424,-5.521660897864913,kick
5344.214220256896,-3.3356096211268187,kick
777.1965587893155,-6.320168594082684,kick
5168.67056512089,-4.110673924154651,kick
1506.4063824826537,-5.116195789756748,kick
314.8484676344408,-6.032486521630903,kick
1980.7945270974096,-6.571483022363591,kick
1646.6008932797374,-6.725633702190849,kick
147.13217098286162,-6.320168594082684,kick
2024.216786457939,-5.878335841803645,kick
3269.734860952601,-4.110673924154651,kick
2156.1124021227156,-5.952443813957367,kick
571.0040933973092,-5.572954192252463,kick
4578.638637963866,-4.733203537500643,kick
3610.924441385863,-4.028756801686764,kick
413.1607175357147,-6.320168594082684,kick
1610.1795251934163,-5.339339341070958,kick
5451.182088054352,-3.1702856407014353,kick
1427.202368844721,-5.339339341070958,kick
2475.981421225425,-5.1851886612437,kick
2238.195889669329,-5.116195789756748,kick
4216.530175569653,-5.472870733695481,kick
1944.3722875979006,-6.437951629739068,kick
436.73203969237323,-6.725633702190849,kick
5176.400612857606,-4.327738429392478,kick
2135.2079747419525,-5.472870733695481,kick
2877.617805157439,-3.942682192915521,kick
3462.366474840741,-5.339339341070958,kick
1611.4603632580206,-5.221556305414575,kick
3156.985371236832,-4.933874232962793,kick
556.7393140550779,-6.725633702190849,kick
977.4246909273902,-5.0208856099524235,kick
1488.7394468714729,-5.051657268619177,kick
4121.729383429938,-5.426350718060588,kick
922.1925601078466,-5.298517346550703,kick
505.6083271511842,-6.214808078424858,kick
4701.091416228959,-3.7216026258221624,kick
1192.3942084461135,-4.96204510992949,kick
3951.790582336273,-5.521660897864913,kick
1378.8683404641397,-5.744804449179123,kick
3785.95925847174,-4.566149452837476,kick
1729.6048044119361,-6.725633702190849,kick
5187.317392476876,-3.86343282126138,kick
3490.9069138523555,-4.933874232962793,kick
6414.99636112715,-3.5545485411589963,kick
315.8062090920451,-5.744804449179123,kick
5338.59174264828,-3.86343282126138,kick
5036.0418070904725,-3.214088263359828,kick
2813.273281696888,-4.327738429392478,kick
8610.419138474575,-2.6368601850182034,kick
1176.910205189164,-5.521660897864913,kick
1092.4291367439973,-5.809342970316694,kick
2139.366799327433,-4.510059986186433,kick
7777.191008876108,-2.7711899808787503,kick
4157.3432952058365,-5.0208856099524235,kick
795.0467355914366,-6.1194978986205335,kick
1345.2544610390614,-6.214808078424858,kick
302.6116197128961,-6.320168594082684,kick
1689.3968075537664,-5.627021413522739,kick
302.6135925728588,-6.320168594082684,kick
1592.9300872333497,-6.320168594082684,kick
3187.362507985013,-4.063045875165396,kick
4177.519169241311,-3.5001133346039794,kick
478.56944397787163,-6.1194978986205335,kick
1486.6896911215247,-4.667245569708845,kick
3570.6899849838355,-3.942682192915521,kick
1305.081992096553,-6.437951629739068,kick
916.1292943392056,-5.627021413522739,kick
493.8040336570002,-5.809342970316694,kick
1688.7847774340898,-5.952443813957367,kick
2327.578061824577,-5.952443813957367,kick
1477.6624516820316,-5.572954192252463,kick
1556.1464753154391,-6.1194978986205335,kick
664.1796104595405,-6.320168594082684,kick
1208.414449046736,-6.320168594082684,kick
2811.4604655826574,-4.733203537500643,kick
1208.4590164195333,-5.521660897864913,kick
2110.609679863929,-7.131098810299013,kick
1981.4414825788779,-4.96204510992949,kick
3572.7601140640427,-4.667245569708845,kick
1607.5107871037724,-5.952443813957367,kick
1320.078956367291,-4.906475258774679,kick
5248.175328611872,-6.214808078424858,kick
3759.989164418039,-6.1194978986205335,kick
560.8426034017252,-6.437951629739068,kick
4331.69481218922,-3.1561010057094787,kick
4486.407718017368,-5.809342970316694,kick
3414.2694918564357,-4.779723553135535,kick
3158.178449114048,-4.585567538694578,kick
708.0576095311815,-5.952443813957367,kick
1443.6734343587673,-5.1851886612437,kick
1476.7556966173943,-5.426350718060588,kick
822.7131193589354,-6.032486521630903,kick
2468.236081325389,-4.733203537500643,kick
2956.9545809195542,-5.339339341070958,kick
2129.4508465275994,-4.52840912485463,kick
1890.9921306767899,-5.259296633397422,kick
3786.0477000278825,-4.0747419149285875,kick
1183.0909926513991,-5.259296633397422,kick
335.54830580912306,-6.320168594082684,kick
2621.718616678054,-4.710730681648584,kick
1206.845478770526,-5.684179827362688,kick
3023.3419816032015,-4.605370165990758,kick
4441.403729707976,-5.339339341070958,kick
2320.8903204902235,-4.756193055725341,kick
2323.1815559160013,-3.9122229854308124,kick
857.6395235703488,-6.320168594082684,kick
2320.4565252374505,-4.098552563622306,kick
1359.6626555436515,-5.221556305414575,kick
2128.4470837578997,-5.116195789756748,kick
2063.819955469353,-6.320168594082684,kick
944.0910481327242,-6.320168594082684,kick
376.0095281813481,-6.320168594082684,kick
3298.517847204893,-3.932425692748332,kick
2261.673168816946,-5.1851886612437,kick
2090.3149355975324,-5.952443813957367,kick
4160.688848866608,-5.221556305414575,kick
3671.482192425238,-4.226933730270512,kick
313.93340919277335,-6.437951629739068,kick
4236.195454978475,-5.744804449179123,kick
2193.141041107973,-5.627021413522739,kick
2984.855183124471,-4.933874232962793,kick
3277.2998581625534,-3.657580767057232,kick
490.8439284108185,-6.320168594082684,kick
4559.821928228939,-6.214808078424858,kick
1122.5518366630254,-5.472870733695481,kick
4255.701590825551,-4.05148505276432,kick
2303.455326220636,-5.259296633397422,kick
5668.502357109817,-4.063045875165396,kick
888.0561970556622,-4.853831525289257,kick
2867.7710238205736,-4.803821104714596,kick
3989.8047443378996,-4.646192160511013,kick
2092.650725278087,-6.032486521630903,kick
4388.668466755662,-3.473968054499657,kick
1957.3842665343313,-6.1194978986205335,kick
1128.9322438839458,-5.0208856099524235,kick
3185.077950837388,-4.08657637257559,kick
1125.4406999071857,-5.472870733695481,kick
2403.0129731825955,-5.472870733695481,kick
1754.3460436357698,-4.991032646802743,kick
2305.334518101681,-4.803821104714596,kick
1702.8796232373236,-4.96204510992949,kick
780.8680723717566,-5.521660897864913,kick
1649.436770937983,-5.878335841803645,kick
1723.3758639928133,-6.320168594082684,kick
1281.696568801444,-5.572954192252463,kick
2488.358132929304,-4.585567538694578,kick
4003.432821569926,-4.186659831132572,kick
1128.9999291668541,-4.991032646802743,kick
4252.252448281704,-3.079313862495708,kick
4800.5805917618745,-5.259296633397422,kick
1089.2220596094023,-5.572954192252463,kick
1375.443129088774,-5.298517346550703,kick
287.98490960525294,-6.1194978986205335,kick
1504.2267226816416,-5.809342970316694,kick
3437.3622852883336,-5.572954192252463,kick
2693.480633272885,-4.879807011692518,kick
451.88679050503663,-6.214808078424858,kick
2683.9673944643946,-4.4398557275131845,kick
464.37561180896404,-6.320168594082684,kick
2085.083038337245,-5.684179827362688,kick
4708.728632199078,-5.1851886612437,kick
1901.8269779515956,-5.572954192252463,kick
3487.8901705406142,-3.963516279818363,kick
279.23127754403697,-6.1194978986205335,kick
1975.5270704735285,-6.214808078424858,kick
6042.558621554776,-3.8730022722775312,kick
303.16628584539205,-6.214808078424858,kick
5581.36532272031,-2.8372205624018365,kick
1771.7171409951866,-4.906475258774679,kick
1945.8123215641629,-5.684179827362688,kick
4539.681597594805,-3.8445643369569975,kick
771.6773070521092,-5.952443813957367,kick
4313.797201553947,-4.268897929369545,kick
1667.0275543407888,-5.684179827362688,kick
2537.873840018163,-5.381898955489754,kick
2441.736744256073,-4.254713294377589,kick
1506.2775314617222,-5.298517346550703,kick
123.20330889464628,-6.437951629739068,kick
1859.737655100801,-6.437951629739068,kick
202.01308805448383,-5.878335841803645,kick
527.9976173225658,-6.032486521630903,kick
1924.3695162477054,-6.437951629739068,kick
1307.3390124181262,-5.15009734143243,kick
914.5266740673001,-6.214808078424858,kick
3718.8000031319407,-2.8684189332576975,kick
2938.7423853863183,-4.906475258774679,kick
228.04738375444757,-6.437951629739068,kick
4592.296830408306,-3.5757507488095994,kick
2224.8811629448937,-5.381898955489754,kick
3906.45873306672,-6.1194978986205335,kick
2183.951648932504,-6.1194978986205335,kick
1375.4417620567526,-5.809342970316694,kick
5113.886223143158,-3.6732060849603125,kick
6917.614979345177,-3.657580767057232,kick
1572.030370253699,-6.437951629739068,kick
429.07288740306785,-5.298517346550703,kick
3350.5066588022946,-4.710730681648584,kick
4177.262686161087,-6.1194978986205335,kick
3801.065177553569,-5.572954192252463,kick
6447.111365257009,-2.9006220737523325,kick
1802.3847806819122,-5.116195789756748,kick
4195.850443860106,-5.116195789756748,kick
1092.3805085097051,-5.809342970316694,kick
1534.8023581325274,-6.214808078424858,kick
356.35340052744675,-6.320168594082684,kick
470.47127052229814,-5.952443813957367,kick
578.364741985157,-6.1194978986205335,kick
660.1409972240349,-5.339339341070958,kick
1639.9928595103993,-5.116195789756748,kick
947.0848411787879,-5.809342970316694,kick
6874.960032774141,-2.7616509578319914,kick
3605.8774093523857,-4.08657637257559,kick
935.1059920736749,-5.878335841803645,kick
811.1654402187644,-5.878335841803645,kick
4166.171547934801,-5.083405966933758,kick
2803.732159672142,-4.779723553135535,kick
182.96858297925857,-6.214808078424858,kick
2585.279705296555,-4.853831525289257,kick
1019.1364649505252,-6.725633702190849,kick
971.0071708908107,-4.991032646802743,kick
5550.604119149941,-4.017583501088638,kick
2383.800549896627,-4.96204510992949,kick
2958.5214219125864,-5.221556305414575,kick
2420.0570132225894,-4.733203537500643,kick
509.57237387800706,-6.214808078424858,kick
465.6488818845142,-6.320168594082684,kick
2130.229875501939,-5.051657268619177,kick
3449.5410950626774,-5.339339341070958,kick
156.81940186998924,-6.571483022363591,kick
598.6333569912194,-6.571483022363591,kick
4402.287128252202,-5.116195789756748,kick
1828.7145972198123,-6.907955258984804,kick
1950.1053943368652,-3.713372126685647,kick
